,Mes,Casos,Codigo,Descricao
78,2020-07-31,52,10,65-69
79,2020-08-31,23,10,65-69
80,2020-09-30,21,10,65-69
81,2020-10-31,24,10,65-69
82,2020-11-30,40,10,65-69
83,2020-12-31,41,10,65-69
84,2021-01-31,56,10,65-69
85,2021-02-28,83,10,65-69
86,2021-03-31,114,10,65-69
87,2021-04-30,126,10,65-69
88,2021-05-31,63,10,65-69
89,2021-06-30,35,10,65-69
90,2021-07-31,11,10,65-69
91,2021-08-31,8,10,65-69
92,2021-09-30,8,10,65-69
93,2021-10-31,10,10,65-69
94,2021-11-30,21,10,65-69
95,2021-12-31,47,10,65-69
96,2022-01-31,225,10,65-69
97,2022-02-28,1021,10,65-69
98,2022-03-31,2370,10,65-69
99,2022-04-30,3258,10,65-69
100,2022-05-31,3616,10,65-69
101,2022-06-30,2400,10,65-69
102,2022-07-31,533,10,65-69
103,2022-08-31,95,10,65-69
104,2022-09-30,38,10,65-69
105,2022-10-31,31,10,65-69
106,2022-11-30,26,10,65-69
107,2022-12-31,38,10,65-69
0,2014-01-31,131,11,70-79
1,2014-02-28,281,11,70-79
2,2014-03-31,361,11,70-79
3,2014-04-30,522,11,70-79
4,2014-05-31,244,11,70-79
5,2014-06-30,86,11,70-79
6,2014-07-31,28,11,70-79
7,2014-08-31,14,11,70-79
8,2014-09-30,17,11,70-79
9,2014-10-31,14,11,70-79
10,2014-11-30,15,11,70-79
11,2014-12-31,31,11,70-79
12,2015-01-31,166,11,70-79
13,2015-02-28,296,11,70-79
14,2015-03-31,786,11,70-79
15,2015-04-30,1775,11,70-79
16,2015-05-31,1238,11,70-79
17,2015-06-30,324,11,70-79
18,2015-07-31,66,11,70-79
19,2015-08-31,32,11,70-79
20,2015-09-30,27,11,70-79
